tl,en
Guilty ang naging tugon ng 61- taon gulang na Amerikano na si Jeffrey Emisse mula sa Wisconsin sa Estados Unidos sa two counts of child pornography sa mga menor de edad sa Pilipinas at pag-iingat ng mahahalay na larawan at video ng mga biktima nito.,Guilty became the response of 61- year-old American Jeffrey Emisse from Wisconsin to the United States in the United States in TWO COUNTS OF CHILD PORNography to minors in the Philippines and custody pictures and videos of its victims.
"Ilan dito ang expansion ng Cardona water treatment plant, extraction mula sa Marikina river ng 40 milyong litero kada araw gamit ang makabaong teknolohiya at paghukay ng mga deep well.","Some of this expansion of Cardona Water Treatment Plant, extraction from the Marikina River of 40 million Latero per day using the combat technology and dehydrated by Deep Well."
Pero sinabi ng dalawang kongresista na hanggang ngayon ay hinahanap nila kung saan kinuha ni Arroyo ang mga ipinamudmod na P1 milyon sa mga congressmen nang pumunta ang mga ito sa Malacanang matapos ipatawag ng Pangulo.,But the two congressmen said that until now they were looking for where Arroyo took those who wished P1 million to the congressmen when they went to Malacanang after the President summoned.
"Partikular na binigyan ng interpretasyon ng Korte Suprema ang Article 26, Paragraph 2 ng Family Code.","The Supreme Court Participated Article 26, Paragraph 2 of the Family Code."
"Ayon kay Cayetano, hinog sa pilit ang nasabing report ng komite ni Gordon.","According to Cayetano, Gordon's committee's committee is ripe to ripe the report."
"""...the court after thoroughly considering the grounds and arguments raised therein, is of the view that acting on the motion without setting it for hearing would definitely prejudice the right of the accused to due process,"" ang nakasaad sa kautusan.","""... The Court After Thoroughly Considering The Grounds And Arguments Raised Therein, Is Of The View That Acting On The Motion Without Setting It For Hearing Would Definitely Prejudice The Right of the Accused To Due Process,"" stated in the Law."
"""Unanimously, all NCR mayors are acceptable to the place Metro Manila under GCQ but still we will wait for the decision of the IATF. Whatever decision that they will do, definitely we will follow and all mayors will be ready,"" saad ni MMDA General Manager Jojo Garcia sa naganap na virtual presser noong Martes ng gabi.","""Unanimously, all ncr mayors are acceptable to the place metro manila under gcq but still wait for the decision of the iatf. Whatever Decision That Will Do, Definitely We Will Follow and All Mayors Will Be Ready,"" Saad by Mmda General Manager Jojo Garcia on the Virtual Presser occurred on Tuesday night."
MANILA - Hiniling muli sa Supreme Court (SC) ng isang abogado na pigilin ang nakaambang pagtaas ng singil sa toll sa South Luzon Expressway (SLEX).,Manila - requested again in the Supreme Court (SC) of a lawyer to refrain from the attacking bill in the South Luzon Expressway (SLEX).
"""Nevertheless, an investigation by the House or even the Senate is in order. We may be barely scratching the surface of anomalies involved, not only in unwarranted realignments by both house and senate members, but in the preparation of the NEP,"" patutsada ni Lacson.","""Nevertheless, An Investigation By The House or Even The Senate Is In Order. We May Be Barely Scratching The Surface of Anomalies Involved, Not Only In Unwarranted Reignments by Both House and Senate Members, But In The Preparation of the Nep,"" Kawkada Ni Lacson."
Posible rin aniyang napuno na si Pulong sa iba't-ibang isyu kung saan ang pinakahuli ay ang pambabatikos sa ginawang pictorial ng kanyang anak na si Isabelle sa Malacanang kung saan nagkasagutan pa sila sa social media.,It is also possible that Meeting is being filled with various issues where the last is to criticize his son Isabelle's pictorial in Malacanang where they are still in social media.
"Aniya, malaking tulong ito para sa pagbangon ng lungsod mula sa limang buwan na digmaan.",He said this is a great help for the city's rise from five months of war.
"Matatandaang walang tigil ang pag-ulan sa bansa dulot ng mga bagyong Henry, Inday, at Josie, at Hanging Habagat.","The rain in the country is worse caused by typhoons Henry, Inday, and Josie, and Hanging Hangs."
"""Sa rami ng nakakarating sa 'min reports tulad ng OFW (overseas Filipino worker) na nawawalan ng pera tapos 'pag humingi ka ng CCTV footage, it takes a while, na you need a court clearance,"" ani Bertiz.","""With RAMI by reaching 'min reports like OFW (Overseas Filipino worker) who loses money done' when you ask for CCTV footage, it takes a while, you need a court clearance,"" said Bertiz."
"Matud ni Bato, wala pay pormal nga panag estorya kaniya ang US official kabahin niini.","Matud's stone, no formal pane story is his US official cooperative."
"""He (Chavit) cannot accept defeat, he cannot swallow the fact that someone is defeating him,"" pahayag ni Vicky sa isang panayam sa kanyang tahahan sa Valle Verde Phase III sa Pasig City.","""He (Chavit) Cannot Accept Defeat, He Cannot Swallow The Fact That Someone Is Defeating Him,"" Vicky said in an interview with his dialogue in Valle Verde Phase III in Pasig City."
"""Talagang matibay na 'yan. In fact, there are many frat officers convicted already but experience namin sa San Beda (College), talagang despite the fact at the formation or registration of frats have already been suspended or outlawed, hindi mo maiiwas ang pag-form ng association,"" paliwanag niya.","""Really Strong 'Yan. In fact, there Are Many Frat Officers Convicted Already But Experience We In San Beda (College), Really Despite The Fact And The Formation Or Registration Of Frats Have Already Been Suspended Or Outlawed, You Can not Avoid When -Form of the Association, ""he explained."
"Pero nakarating sa impormasyon ni Mang Teban, pinasasakay lang umano ang senatoriable upang sa gayon ay maglabas ng kuwarta para sa kalabang partido.","But when Mang Teban had information, the senatoriable was justified so that would thus bring out the dough for the opposite party."
"Una, dapat na alamin ang lagay ng panahon, sa pamamagitan ng panonood at pakikinig sa mga weather forecast. Kailangan ding maghanda ng evacuation plan at disaster supply kit, na naglalaman ng pagkain, tubig, at damit. Protektahan din ang mga importanteng dokumento at papeles, at ilagay ang mga ito sa waterproof na sisidlan.","First, the weather should be known, by watching and listening to weather forecasts. Also need to prepare evacuation plan and disaster supply kit, which contains food, water, and clothing. Protect important documents and documents, and place them in the waterproof vessel."
"Patuloy pa rin naman ang pagbibigay ng 20% discount sa mga senior citizen, estudyante at persons with disabilities.","Providing 20% ??????????discount on senior citizens, students and persons with disabilities."
"Dahil sa tagtuyot, nawalan ng 20 bilyong cubic metres ang tubig ang Italy ngayong taon - na katumbas ng Lake Como.","Because of the drought, italy water has lost 20 billion cubic meters this year - equal to Lake Como."
"""We are saddened by reports of the destructive effects of Typhoon 'Hato' on Hong Kong and Macau,"" wika ni Sec. Cayetano sa isang statement kahapon.","""We Are Saddened by Reports Of The Destructive Effects Of Typhoon 'Hato' On Hong Kong And Macau,"" said Sec. Cayetano in a statement yesterday."
"""Sa mga napuntahan naming mga supermarkets, wala na kaming nakitang mga Maggi products, pinull-out na ng Nestle Philippines,"" sumala ni Legaspi.","""We've been to supermarkets, we have not seen Maggi Products, Pinull-out of Nestle Philippines,"" Legaspi."
"Matatandaang una nang naglunsad ang DepEd ng isang linggong Brigada Eskwela kamakailan, katuwang ang ilang government agency at mga stakeholder, upang tiyaking handa na ang mga paaralan para sa pagbabalik-eskwela ng mga mag-aaral. Matapos ito ay naglunsad rin sila ng Oplan Balik Eskwela (OBE) para tugunan naman ang mga problemang posibleng kaharapin sa pagbubukas ng klase.","The DepEd was first launched by a weekly brigada school, recently, some government agency and stakeholders, to ensure that schools are ready for school returns. After this they also launched Oplan Back Eskwela (OBE) to address the problems possible facing the opening of the class."
Inaprubahan na rin ng MWSS ang Foreign Currency Deposit Adjustments (FCDA) na magpapataas sa singil ng Maynilad pero bababa sa singil ng Manila Water sa Oktubre.,MWSS has also approved the foreign currency deposit adjustments (FCDA) that will increase the charge of Manila but at least in charge of Manila Water in October.
"""Amid epidemics left and right, the threat by several private hospitals not to renew their PhilHealth accreditation and deny service to members is not only shocking and callous, but it also borders on the criminal,"" sabi ni Hontiveros.","""Amid Epidemics Left And Right, The Threat By Several Private Hospitals Not to Renew Their Philhealth Accreditation and Deny Service to Members Is Not Only Shocking and Callous, But It Also Borders on the Criminal,"" Hontiveros said."
Muling iginiit ng Sanofi na walang safety o quality concerns tungkol sa Dengvaxia.,Sanofi again insisted without safety or quality concerns about Dengvaxia.
"Dinala sa hotel ang biktima habang kinuha umano ang kanyang ATM card. Nagawa umanong inisyal na makapag-withdraw ng P20,000 ng mga suspek.","The victim was brought to the hotel while his ATM card was taken. The initials were able to withdraw P20,000 of the suspects."
Sa nasabing miting ay dumalo rin ang dalawa pang naghahangad na maging speaker na sina Marinduque Rep. Lord Allan Velasco at incoming Leyte Rep. Martin Romualdez.,In the meeting also attended two more aspiring to be speakers that Marinduque Rep. Lord allan velasco and incoming leyte rep. Martin Romualdez.
"Sa pagdalo sa iba't ibang forum sa Metro Manila kamakailan, nilinaw nina Tampakan, South Cotabato Mayor Leonardo Escobillo Sr. at Kiblawan, Davao del Sur Mayor Marivic Diamante na mas gusto nila ang large-scale mining sa kanilang mga lugar dahil mas nakapipinsala ang ilegal na small-scale mining na walang kontrol sa paggamit ng asoge o mercury at dinamita sa kanilang operasyon.","In attending various forums in Metro Manila recently, Tampakan, South Cotabato Mayor Leonardo Escobillo Sr. And kiblawan, Davao del Sur Mayor Marivic Diamonds that they prefer large-scale mining in their places because illegal small-scale mining is harmful without control of the use of mercury or mercury and dynamite in their operation."
"MANILA, Philippines - Sinuportahan ng Philippine National Police (PNP) ang total ban laban sa firecrackers na ipinapanukala ng Department of Health (DOH) upang mabawasan na ang mga biktima ng mga paputok sa tuwing sasapit ang bagong taon.","Manila, Philippines - The Philippine National Police (PNP) supported the total ban against the firecrackers proposed by the Department of Health (DOH) to reduce the victims of firecrackers every time the New Year will come."
"Sa ipinadalang mensahe ni Msgr. Pablo Legazpi Jr., vicar general ng Diocese ng Malolos, dakong 9:00 ng umaga kahapon nang pumanaw ang obispo.","In Msgr's sent message. Pablo Legazpi Jr., Vicar General of the Diocese of Malolos, 9:00 am yesterday when the bishop passed away."
"Sa kanyang pagdalo sa isang dinner concert sa Pasay City noong Huwebes ng gabi, hindi naiwasang ibulalas ng Pangulo ang ngitngit sa Amerika dahil nangako aniyang tutulong pero hindi naman tinupad.","In his attendance at a dinner concert in Pasay City on Thursday night, the President was not able to exploit the scarcity of America because he had pledged but did not fulfill."
"Kaugnay nito, siniguro rin naman ni Malaya na magiging masaya ang ICAD na marinig ang mga panukala ng Bise Presidente para masugpo ang problema ng bansa sa ilegal na droga.","In this regard, Malay also assured that Icad would be happy to hear the vice president's proposals to prevent the problem of the country in illegal drugs."
Nakatitiyak si Trillanes na mas pagbubutihin ng mga Cabinet members ang kanilang trabaho kung alam nilang isasalang sa pag-audit ang kanilang ginagawa.,Trillanes are sure that cabinet members will improve their job if they know they are going to be the audit.
"Ilang araw bago isalang sa deliberasyon ang kumpirmasyon ni Paderanga, ilang kontra ang sumulat kay Enrile para harangin ang pagtatalaga sa opisyal. Inakusahan nila na hindi naging maayos ang pamamahala ni Paderanga sa mga hinawakan nitong pribadong kompanya.","A few days before the publication of Padalaga's confirmation, some against Enrile wrote to block the dedication to the officer. They accused of managing the rulership of Holderanga in its private companies."
"Base pa sa imbestigasyon, nagpaalam si Leticia sa kanyang asawa noon pang Linggo na makikitulog sa isa nitong kamag-anak sa Camp Crame. Bago umalis ay balisa na ito at tila may malalim na iniisip.","Based on the investigation, leticia told her husband a week to sleep with one relative to Camp Crame. Before leaving it was anxious and seemed to be deep thought."
Pinayagan ng Bureau of Customs na mailabas patungo sa United States ang misteryosong $11.6 milyong salapi na nasabat kamakalawa sa Ninoy Aquino International Airport.,The Bureau of Customs allowed to be released to the United States the mysterious $ 11.6 million cash in the Ninoy Aquino International Airport.
"Sa manifestation na inihain ng kampo ni Sereno kaninang umaga, partikular nitong tinutulan ang bahagi ng kundisyong nagsasabing kinikilala niya ang hurisdiksyon ng Korte Suprema na pagpasyahan ang petisyon gayong siya ay naninindigan na walang hurisdiksyon ang hukuman sa kaso at ang dapat lamang nitong gawin ay ibasura ang petisyon.","In the manifestation filed by Sereno's camp this morning, it specifically opposed the part of the condition that says he acknowledges the jurisdiction of the Supreme Court to decide the petition when he stands for no jurisdiction in the case and what it should do is to dismantle the petition."
"Si Emuslan ay may ranggong corporal at natanggal sa serbisyo noong Pebrero 2004. Samantala, dating army staff sergeant si Matienzo na na-discharged noong September 2003.","Emuslan had a Rangong Corporal and was removed from the service in February 2004. Meanwhile, Matienzo's former Army Staff Sergeant was discharged in September 2003."
"Pero hindi naman makakasuhan ang nag-share, nag-like, nag-reply o nag-retweet sa post o artikulo na magiging dahilan ng kaso.","However, the share, likes, replying or retweeting or article will be a case."
MANILA - Nais ng isang kongresista na magtayo ng Philippine National Cancer Center dahil sa dumadaming kaso ng nagkakasakit ng kanser ngunit kulang ang pasilidad ng mga ospital para tumingin sa naturang nakamamatay na karamdaman.,Manila - A congressman wants to build the Philippine National Cancer Center because of the growing cases of cancer and the facility of hospitals to look at such a deadly illness.
Talagang ganyan. Muli na naman tayong pagsasamantalahan ng mga politiko.,It's really like that. Politicians will exploit us again.
Inanyayahan ng Presidente ang mga ito na pumasyal sa Mt. Diwalwal para makita kung ano ang idinulot ng pagsira sa bundok pati na ang mga ilog na naging tapunan ng kanilang pagmimina dahil tiyak na sila mismo ay masusuka sa ginawang pagsira sa bansa.,The President invited them to travel to Mt. Diwalwal to see what the mountain destroys caused the rivers who became their mining because they were certainly being thrown into the destruction of the country.
Ito ay bunsod na rin ng mga reklamo sa ahensiya at mga report na maraming bilang ng mga colorum vehicles ay nananamantala sa kanilang pamamasada dahil sa bugso ng mga pasahero na uuwi sa kanilang mga destinasyon sa mga lalawigan.,It is also a complaint with agency complaints and reports that many numbers of colorum vehicles are exploiting their surge due to the wave of passengers who return to their destinations in the provinces.
"Inaresto ng pulisya ang isang lalaki makaraang shabu ang nais nitong ibayad sa guest relations officer (GRO) at mga ininom na alak at kinain sa isang club sa Pasacao, Camarines Sur, iniulat kahapon.","The police arrested a man after Shabu would want to pay for the guest associations officer (GRO) and drinking wines and ate a club at Pasacao, Camarines Sur, reported yesterday."
"We are sorry to announce that another member of our nursing family, John Alagos, has sadly passed away from COVID-19. pic.twitter.com/lqqNoNlY9I","We Are Sorry To Announce That Another Member Of Our Nursing Family, John Alagos, Has Sadly Passed Away From Covid-19. pic.twitter.com/lqqnonly9i."
"Ayon kay retired Col. Reynaldo Cabauatan, presidente ng MNS at isang Marcos loyalist mahigit sa 33 taon na ang nakakalipas at hanggang ngayon ay marami pa rin sa ating mga Filipino ang naghahanap ng katotohanan sa likod ng kontrobersiyang bumabalot sa Aquino- Galman double murder case.","According to Retired Col. Reynaldo Cibouatan, president of MNS and a Marcos Loyalist over 33 years ago and until now there are still many Filipinos looking for truth behind the controversy wrapping the Aquino-Galman Double Murder Case."
Idinagdag ni Dy na kukunin sana ng mga mangingisda ang bangkay nang mapansin nila pinagpipiyestahan ito ng mga pating.,Dy added that fishermen would have taken the corpse when they noticed that they were watching the sharks.
"MANILA, Philippines -- Tinanggap ng Malacanang ang tawad na hiningi ng may-ari ng bangkang Tsinong nakabangga't nakapagpalubog sa sinasakyan ng mga Pilipinong mangingisda sa Recto Bank nitong Hunyo.","MANILA, Philippines - Malacanang accepted the forgiveness requested by the Owner of the Middle of the Middle Bidding and pierced by Filipino fishermen at Recto Bank in June."
"Bukod sa mga pekeng pera, nakuha sa sinalakay na bahay ang isang printer at computer na pinaniniwalaang ginagamit ni Uy sa paggawa ng mga pekeng pera.","Aside from counterfeit money, a printer and computer have been invaded by the house that is believed to be used by Hey in making fake money."
"MANILA, Philippines -- May 200 dating mga miyembro ng New People's Army (NPA) ang nagtungo sa Kampo Aguinaldo kahapon.","Manila, Philippines - There are 200 former members of the New People's Army (NPA) went to camp Aguinaldo yesterday."
"Tatlumpu't siyam na mga opisyal ng ALMAMICO at ALAMCCO ang pinangalanang respondent sa reklamo sa pangunguna ng chairman na si Jerson Cagang at asawa niyang si Fe Cagang na isa sa mga director ng ALAMCCO, at Jayson Baybay na general manager naman ng ALAMCCO.","Thirty-nine Almamico officials and Alamacco were named respondent to the chairman's leadership complaint Jerson Cagay and his wife Fe is one of the Alamacco's directors, and Jayson's General manager of AlamCco."
5. Richard Gordon,5. Richard Gordon.
"""Una: Sigaw ba ng taumbayan ang Charter change? Is there really a public clamor for Charter change? If so, where is the evidence?""","""First: Does the people cry Charter Change? Is There Really A Public Clamor For Charter Change? If So So, Where Is The Evidence?"""
"Sinabi ni Grace Poe, hindi niya inaasahan na magiging top sa senatorial race kaya sobra-sobra ang kanyang pasasalamat sa pagtitiwala sa kanya ni Pangulong Aquino at ang tulong na ibinigay sa kanya ni Sen. Chiz.",Grace Poe said he would not expect to be the top of the senatorial race so much gratitude for his gratitude for President Aquino and the help given to him by Sen. Chiz.
Inihalimbawa nito ang bansang Vietnam kung saan dalawang Nuclear Power Plant ang kanilang ipinapagawa sa ngayon.,It gives the vietnam country where they are two nuclear power plants today.
"Sa rekord ng Region 3 Epidemiology and Surveillance Unit, lumilitaw na ang Bulacan ang may pinakamataas na bilang na sakit na dengue na may kabuuang 814; Nueva Ecija, 482 cases; Pampanga, 472 cases mula Enero-Setyembre taong kasalukuyan.","In the Record of the Region 3 Epidemiology and Surveillance Unit, Bulacan appears to have the highest dengue disease with a total of 814; Nueva Ecija, 482 cases; Pampanga, 472 cases from January-September current."
"Sa 2020, lalaki pa ang budget deficit sa P677.6 bilyon ayon sa budget proposal ng administrasyong Duterte.","In 2020, Budget Deficit is still a Budget at P677.6 billion according to the Budget Proposal of the Duterte administration."
"Ayon sa alkalde, babae ang sanggol at taga-Barangay Tipakan. Ito rin ang ika-18 kaso ng virus sa lugar.","According to the mayor, the baby is the baby and Barangay Tikakan. It is also the 18th case of the virus in the area."
"""Mahaba iyong proseso no. The complaint originated in 2010, if I am not mistaken. Dumaan ang pagkahaba-habang proseso iyong imbestigasyon ng ng DILG, under Secretary Jesse Robredo, dinala sa Office of the President and the ES studied the matter. At lumabas na may mga base iyong reklamo,"" ayon kay Aquino.","""Long Process NO. The Complaint Originated in 2010, IF I am not Mistaken. Take the extending-while process your investigation of DILG, Under Secretary Jesse Robredo, brought to the Office of the President and the Es Studied The Matter. And go out With bases your complaint, ""Aquino said."
"""While it could be that this is just a result of weekend dips in reporting, it is still worth taking note,"" batay sa tweet ng DFA.","""While It Could Be That This Is Just A Result Of Weekend Dips In Reporting, It Is Still Worth Taking Note,"" Based on Tweet of DFA."
"Pawang miyembro ng NPA ang limang nasawi, kabilang si Andres Hubilla, secretary ng Komiteng Probinsya 3 Proletarian Regional Bicol Committee, habang kinikilala pa ang tatlong kasamahan niya.","All members of the NPA are five deaths, including Andres Hubilla, Secretary of the Province Committee 3 Proletarian Regional Bicol Committee, while still recognizing the three colleagues."
"""I am not keen on finding a 'middle ground' with mining companies if it involves damaging watersheds and agriculture. Our country is not fit for mining because we are an island ecosystem... When you mine here, you kill economic potential literally forever, you can't get it back again,"" giit niya.","""I am not keen on finding a 'middle ground' with mining companies if it involves damaging watersheds and agriculture. Our Country Is Not Fit For Mining Because Of Island Ecosystem ... When You Mine Here, You Kill Economic Potential Forever , You can not get it back again, ""he said."
"""We have already the letter and we were told that the Office of Civil Defense has already made an advance notice about our financial situation to the NDRRMC (National Disaster Risk Reduction and Management Council),"" sinabi ni Daep sa Balita.","""We Have Already The Letter And We Were Told That The Office of Civil Defense Has Already Made An Advance Notice About Our Financial Situation To The NDrrmc (National Disaster Risk Reduction and Management Council),"" Daep said in the news."
"Paliwanag ni Sarmiento, nakatanggap ang HRVCB ng kabuuang 75,730 nag-claims kung saan 100 porsiyento sa kabuuang claims ang sinimulan nang matapos habang ang natitirang draft resolution ay nakahanda nang ipadala sa mga claimant.","Sarmiento explained, HRVCB received a total of 75,730 claims where 100 percent of the total claims began to finish while the remaining draft resolution was ready to be sent to the claimant."
"Nagpakilala ang lalaki bilang si Joseph Perez Otazu, na isa umanong Filipino-Canadian.","The man introduced as Joseph Perez Otazu, who was one of Filipino-Canadian."
"Kini-claim ng China na bahagi ang naturang isla, na nasa southern part ng South China Sea, ng kanilang traditional fishing grounds.","China claims that part of the island, which is in the Southern Part of the South China Sea, of their traditional fishing grounds."
"Dahil sa naging pahayag ni Faeldon, sinabi ni Gordon na mananatili ang contempt na ipinataw dito ng Senado.","Due to Fieldon's statement, Gordon said the contempt was imposed by the Senate."
"Natukoy naman na 48,066 ang ghost students sa 710,201 na naitalang mag-aaral doon nung SY 2013-2014.","Ghost Students also identified 48,066 in 710,201 who were recorded students there 2013-2014."
"Para sa iba, madalas hinuhuling kainin ang balat ng manok dahil tila ginagawa itong panapos para manatili sa dila ang masarap na lasa ng isa sa pinaka-juicy na parte ng chicken.","For others, the chicken skin is often eaten because it seems to make it annoying to stay in the tongue the delicious taste of one of the most juicy chicken parties."
"Hindi umano maikakaila ang pangunguna ng Sandatahang Lakas ng Pilipinas sa mga trahedyang ito bilang isa sa mga pinaka-organisado at well-equipped organization sa bansa, pagdating sa usapin ng disaster management","The leadership of the Armed Forces of the Philippines will not be denied by these tragedies as one of the most organized and well-equipped organizations in the country, when it comes to issues of Disaster Management"
Hinikayat din ni Sen. Bam ang transport officials na tingnan kung paano mapapababa ang interes at mapapahaba ang panahon ng pagbabayad upang ang bayad ay maging katumbas ng arawang boundary ng jeepney drivers. Sinuportahan naman ng iba't ibang transport organizations ang panukala ni Sen. Bam.,Sen. BAM Transport Officials to see how to lower interest and extend the payment period so that the fee is equivalent to the daily boundary of jeepney drivers. Different transport organizations supported Sen. Bam.
"Pero paliwanag ng Comelec, wala silang kinalaman sa nangyari sa ballot box.","But the Comelec explains, they have nothing to do with the ballot box."
Taytay,Taytay.
"""His itinerary of travel shall cover Hong Kong only and not any other place,"" saad sa resolusyon.","""Hisinterary of Travel Shall Cover Hong Kong Only And Not Any Other Place,"" Saad to Resolution."
"Sa House Bill 2315 o SPED Act of 2013 ni Rep. Calalay, inaatasan nito ang paglalagay ng hanggang tatlong SPED centers sa mga malalaking school division para sa mga Children with Special Needs (CSN).","In the House Bill 2315 or SPED Act of 2013 by Rep. Calalay, it requires putting up to three sped centers in large school divisions for children with special needs (CSN)."
"Tinatayang 15 bayan, kasama ang Palo, La Paz, Abuyog, Dulag, Babatngon, Baruro, San Isidro, Isabel, Carigara, Pastrana, Baybay, at Jaro, gayundin ang Ormoc City, ang apektado ng baha.","Approximately 15 towns, including Palo, La Paz, Abyog, Dulag, Babatngon, Baruro, San Isidro, Isabel, Carigara, Pastrana, Baybay, and Jaro, as well as Ormoc City, is affected by the flood."
"Umabot sa 219 na government official ang nasa listahan ng PDEA na tinatawag na ""narco officials"".","Up to 219 Government Officials are on the PDEA list called ""NARCO officials""."
"Ayon kay Kabataan partylist Rep. Terry Ridon, bilang isa sa mga petitioner, ang hakbang ay bilang pagtutol sa desisyon ng Korte Suprema na constitutional ang online libel na nakapaloob sa Cybercrime Law.","According to youth partylist rep. Terry Ridon, as one of the petitioners, the step is as opposed to the decision of the Supreme Court that Constitutional is the online libel contained in the Cybercrime Law."
"Sa nationwide survey na isinagawa noong nakaraang Mayo 25-28 at binubuo ng 1,200 respondents, nalaman na 58 porsiyento ng mga Pilipino ang labis na nagtitiwala at 13% ang hindi gaano nagtitiwala sa United Nations (UN). Ito ang dahilan upang magtamo ng ""very good"" +45 (percentage ng labis na nagtitiwala minus sa percentage ng hindi gaano nagtitiwala) trust rating ang UN.","In the nationwide survey conducted last May 25-28 and made up of 1,200 respondents, learned that 58 percent of Filipinos were overwhelming and 13% did not trust the United Nations (UN). This is the reason for earning ""very good"" +45 (Percentage of excessively trusting minus at PERCENTAGE What is a trust) Trust Rating the UN."
"Ayon kay Duterte, muli niyang iimbestigahan ang ""sins"" na nagawa ng US sa Pilipinas at ilalantad niya ito sa buong mundo.","According to Duterte, he will again investigate ""sins"" that the US has done in the Philippines and will expose it to the world."
Nagmagandang loob na aniya siya na makatulong subalit siya ngayon ang naiipit.,He is vivid that he helps but he is now caught up.
"Nakalagay sa logbook ng NEB na ""follow-up"" ang sadya ng mag-inang Sanchez sa tanggapan ni Panelo.","The NEB's ""follow-up"" logbook is located in the Neb's ""follow-up"" in Panelo's office."
"Nitong April 10, ang 19-anyos kasama ang mga kapatid ay naglunsad ng ""A Small Thing Goes A Long Way"" fund-raising drive.","On April 10, the 19-year-old with the brothers launched ""A Small Thing Goes A Long Way"" Fund-Raising Drive."
